id,nome,regiao,Biologia,Filosofia,Fisica,Geografia,Historia,Lingua Estrangeira,Matematica,Portugues,Quimica,Sociologia
2,Engenharia Civil,Capital,6,7,2,7,7,8,2,9,3,5
1,Direito,Agreste,4,5,4,9,6,10,1,9,3,5
3,Engenharia Civil,Regiao Metropolitana,5,6,1,6,6,5,5,6,4,8
2,Medicina,Capital,9,7,9,10,9,9,9,9,8,8
3,Engenharia Civil,Regiao Metropolitana,3,4,2,7,6,6,2,7,3,6
3,Engenharia da Computacao,Regiao Metropolitana,7,4,2,5,7,9,6,8,4,7
4,Nutricao,Sertao,3,4,2,6,4,3,4,5,2,4
3,Enfermagem,Regiao Metropolitana,2,2,2,5,1,1,1,4,2,2
1,Medicina,Agreste,7,5,4,7,9,6,7,7,3,7
2,Pedagogia,Capital,4,6,4,5,8,4,4,5,2,4
4,Odontologia,Sertao,3,2,3,4,4,3,1,5,1,4
2,Sistemas de Informacao,Capital,5,6,5,8,8,6,5,7,4,4
3,Ciencias Biologicas,Regiao Metropolitana,2,4,4,5,4,8,5,5,2,2
2,Matematica,Capital,4,4,5,4,4,4,4,7,3,4
1,Medicina,Agreste,3,4,3,3,4,4,2,5,3,4
2,Administracao,Capital,3,2,2,3,4,6,4,4,2,1
2,Ciencias Sociais,Capital,5,5,3,3,5,7,3,9,3,2
4,Administracao,Sertao,3,3,4,4,1,2,2,6,3,2
5,Letras - Portugues,Zona da Mata,2,2,4,1,5,2,4,2,5,1
4,Medicina,Sertao,3,4,5,3,4,5,4,5,1,2
1,Historia,Agreste,2,3,3,3,3,3,3,8,3,4
2,Geografia,Capital,3,3,2,9,6,5,3,7,3,5
4,Educacao Fisica,Sertao,2,3,2,2,3,3,2,6,3,2
3,Medicina,Regiao Metropolitana,7,6,2,8,8,7,9,9,6,6
5,Engenharia Eletrica Eletrotecnica,Zona da Mata,3,5,3,5,5,1,1,7,2,4
2,Odontologia,Capital,3,2,3,2,2,2,3,4,3,1
5,Enfermagem,Zona da Mata,3,3,5,2,3,4,2,5,5,3
3,Enfermagem,Regiao Metropolitana,4,6,2,5,3,6,3,7,2,5
2,Engenharia da Computacao,Capital,6,4,3,5,5,4,8,10,2,7
5,Historia,Zona da Mata,5,3,3,3,4,2,2,3,3,4
2,Medicina,Capital,5,5,4,7,6,8,1,7,2,7
2,Direito,Capital,7,6,3,10,8,10,3,10,3,6
1,Engenharia Eletrica eletronica,Agreste,9,8,7,8,8,10,10,11,6,7
5,Gestao em Logistica,Zona da Mata,3,1,3,3,4,2,2,8,2,4
4,Ciencias Biologicas,Sertao,3,2,6,4,2,2,2,1,2,1
3,Engenharia da Computacao,Regiao Metropolitana,4,5,4,5,6,1,5,7,2,5
5,Sistemas de Informacao,Zona da Mata,3,5,4,6,4,5,3,7,2,7
1,Administracao,Agreste,7,3,2,6,5,2,5,6,3,7
5,Psicologia,Zona da Mata,5,3,2,5,5,3,1,3,1,3
3,Educacao Fisica,Regiao Metropolitana,8,3,3,4,5,2,1,4,2,3
2,Enfermagem,Capital,5,2,4,4,3,4,2,5,2,4
5,Ciencias Biologicas,Zona da Mata,2,2,3,7,3,2,4,4,1,4
3,Educacao Fisica,Regiao Metropolitana,6,3,2,3,1,3,4,9,3,2
2,Administracao,Capital,5,5,2,4,7,9,10,9,4,7
2,Engenharia Mecanica Industrial,Capital,4,2,3,6,4,3,3,5,5,3
1,Odontologia,Agreste,5,5,3,2,9,2,5,7,3,6
2,Engenharia Civil,Capital,5,2,2,6,5,6,7,6,6,3
5,Geografia,Zona da Mata,2,4,4,4,4,1,3,5,5,4
2,Engenharia Civil,Capital,2,4,2,3,4,6,1,5,2,4
2,Engenharia Civil,Capital,4,6,2,5,9,6,7,9,2,6
5,Administracao,Zona da Mata,4,4,3,4,3,3,1,8,4,4
2,Medicina,Capital,3,3,3,7,4,6,4,6,1,6
2,Medicina,Capital,5,5,4,8,6,9,3,7,3,4
2,Odontologia,Capital,7,4,3,3,4,7,2,5,3,3
2,Engenharia de Controle e Automacao,Capital,5,3,2,7,5,7,8,5,3,5
3,Ciencias Biologicas,Regiao Metropolitana,5,6,4,4,4,2,5,9,1,4
1,Medicina,Agreste,8,6,3,7,5,4,6,9,7,8
3,Fisioterapia,Regiao Metropolitana,3,4,4,5,2,3,2,4,5,4
2,Medicina,Capital,7,5,4,6,8,9,8,8,4,6
2,Enfermagem,Capital,2,4,3,3,3,2,2,5,3,2
1,Administracao,Agreste,5,2,3,3,4,4,2,6,3,4
2,Ciencias Biologicas,Capital,5,4,4,7,7,10,2,8,3,4
3,Ciencias Sociais,Regiao Metropolitana,2,5,3,5,6,9,2,9,4,3
2,Letras - Portugues/Ingles,Capital,5,7,2,8,7,8,5,9,3,7
2,Odontologia,Capital,5,3,4,4,4,7,1,9,2,6
1,Historia,Agreste,7,4,3,4,6,8,2,9,2,6
2,Administracao,Capital,5,5,3,6,6,5,5,7,2,8
1,Ciencias Biologicas,Agreste,3,4,4,7,3,2,1,4,5,8
2,Ciencias Biologicas,Capital,4,1,3,4,4,3,5,3,2,2
2,Medicina,Capital,3,4,2,5,4,2,1,5,1,4
2,Administracao,Capital,4,3,4,6,7,8,2,7,2,5
2,Fisica de Materiais,Capital,6,3,3,7,6,2,8,8,3,8
2,Medicina,Capital,7,7,3,7,7,8,7,8,6,6
3,Fisioterapia,Regiao Metropolitana,2,3,5,3,5,1,1,7,1,2
1,Direito,Agreste,6,6,2,4,6,7,3,9,4,6
3,Saude Coletiva,Regiao Metropolitana,6,5,6,4,7,10,1,9,2,6
5,Engenharia Mecanica Industrial,Zona da Mata,6,5,6,6,3,9,7,9,1,6
3,Psicologia,Regiao Metropolitana,2,4,4,4,4,3,3,3,1,5
3,Engenharia da Computacao,Regiao Metropolitana,7,5,4,8,7,10,6,11,6,7
3,Educacao Fisica,Regiao Metropolitana,2,4,3,4,4,5,1,8,3,6
3,Direito,Regiao Metropolitana,4,6,3,6,6,6,3,8,4,6
2,Engenharia Civil,Capital,4,2,3,5,3,9,4,6,5,5
2,Odontologia,Capital,5,5,2,7,6,8,4,11,4,7
3,Administracao,Regiao Metropolitana,4,5,2,5,7,8,1,9,4,3
3,Nutricao,Regiao Metropolitana,6,4,4,5,5,4,3,7,1,6
2,Engenharia da Computacao,Capital,6,5,4,5,5,10,6,7,3,1
2,Engenharia da Computacao,Capital,3,5,5,4,4,8,6,4,5,4
2,Medicina,Capital,4,5,2,4,7,7,4,8,4,3
3,Ciencias Sociais,Regiao Metropolitana,4,2,4,3,4,1,3,5,2,2
3,Educacao Fisica,Regiao Metropolitana,3,4,3,5,5,3,7,6,1,3
2,Engenharia da Computacao,Capital,3,2,4,5,3,2,4,7,2,5
2,Administracao,Capital,2,4,2,4,2,9,4,2,1,3
5,Administracao,Zona da Mata,3,4,4,6,7,2,1,7,2,4
3,servico Social,Regiao Metropolitana,6,2,2,7,3,3,1,5,1,4
2,Odontologia,Capital,7,4,2,8,7,4,7,8,3,6
2,Ciencias Biologicas,Capital,6,5,2,4,2,5,8,8,2,2
5,Ciencias Biologicas,Zona da Mata,6,3,2,4,4,2,1,6,2,6
3,Engenharia Mecanica Industrial,Regiao Metropolitana,4,4,1,5,3,5,2,8,1,2
3,Educacao Fisica,Regiao Metropolitana,5,4,4,9,7,7,2,9,5,8
1,Engenharia da Computacao,Agreste,7,3,5,4,3,7,5,5,4,6
1,Odontologia,Agreste,7,5,4,9,8,4,5,9,5,6
3,Administracao,Regiao Metropolitana,6,4,1,2,3,7,2,4,3,6
4,Historia,Sertao,7,7,2,6,6,8,4,1,3,6
3,Engenharia Mecanica Industrial,Regiao Metropolitana,3,5,4,2,6,3,1,3,2,6
5,Educacao Fisica,Zona da Mata,4,4,4,5,5,5,2,6,3,4
2,Direito,Capital,4,2,2,3,6,7,4,3,1,6
2,Educacao Fisica,Capital,4,3,1,6,7,9,2,8,3,6
3,Engenharia Civil,Regiao Metropolitana,2,3,2,4,4,3,1,5,2,4
2,Psicologia,Capital,3,2,1,1,5,3,1,5,1,4
5,Educacao Fisica,Zona da Mata,2,2,3,6,4,3,3,2,1,3
2,Ciencias Biologicas,Capital,1,1,3,6,4,6,4,9,3,5
2,Direito,Capital,6,6,4,6,6,9,5,6,5,7
2,Psicologia,Capital,2,3,4,4,4,5,4,3,2,2
2,Ciencias Biologicas,Capital,6,4,3,5,6,6,5,6,3,4
3,Educacao Fisica,Regiao Metropolitana,3,4,4,3,7,7,3,8,1,4
3,Nutricao,Regiao Metropolitana,5,5,1,5,6,5,2,5,4,6
4,Medicina,Sertao,4,3,2,4,5,3,2,9,3,5
2,Medicina,Capital,6,7,2,7,8,10,2,10,2,7
3,Medicina,Regiao Metropolitana,7,4,6,7,7,10,12,9,5,5
4,Medicina,Sertao,4,5,2,5,3,6,2,6,6,6
2,Direito,Capital,3,4,3,4,5,5,1,8,2,4
2,Historia,Capital,5,4,3,7,5,6,2,8,2,6
5,Pedagogia,Zona da Mata,5,5,2,5,2,4,4,2,3,1
2,Engenharia Civil,Capital,4,5,1,3,7,7,5,7,2,6
1,Geografia,Agreste,7,3,2,8,7,6,5,8,3,6
3,Enfermagem,Regiao Metropolitana,4,1,3,4,9,6,3,7,1,4
2,Engenharia Civil,Capital,7,5,4,9,8,5,5,6,5,5
3,Enfermagem,Regiao Metropolitana,4,3,5,2,2,3,4,7,2,3
2,Fisioterapia,Capital,4,6,2,8,7,2,9,7,4,6
2,Odontologia,Capital,4,6,2,8,8,4,4,6,5,6
2,Engenharia da Computacao,Capital,4,6,4,5,7,2,4,8,2,3
3,Engenharia Civil,Regiao Metropolitana,4,2,3,5,4,5,2,5,1,3
3,Direito,Regiao Metropolitana,7,7,4,8,7,8,4,8,3,7
2,Direito,Capital,4,8,5,7,7,7,4,11,4,6
3,Sistemas de Informacao,Regiao Metropolitana,4,5,2,7,6,3,1,7,3,6
4,Direito,Sertao,4,6,3,6,3,2,1,8,3,5
5,Medicina,Zona da Mata,5,4,1,5,5,5,3,6,3,1
1,Gestao em Logistica,Agreste,4,6,4,5,6,8,3,9,1,7
3,Educacao Fisica,Regiao Metropolitana,1,4,2,6,5,5,2,6,3,5
